Cell Line Name,VEGFA,SLC2A1,PGAM1,ENO1,LDHA,TPI1,P4HA1,MRPS17,CDKN3,ADM,NDRG1,TUBB6,ALDOA,MIF,ACOT7,MCTS1,PSRC1,PSMA7,ANLN,TUBA1B,MAD2L2,GPI,TUBA1C,MAP7D1,DDIT4,BNIP3,GAPDH,MRPL13,CHCHD2,YKT6,CORO1C,SEC61G,ANKRD37,ESRP1,PFKP,SHCBP1,KIF20A,SLC25A32,SLC16A1,MRPL15,KIF4A,LRRC42,PGK1,HK2,CA9,HILPDA,PNP,MRGBP,CTSV,UTP11,AK4,BuffaScore,Hypoxia
HS294T,1.9183862344463478,3.1613502657043027,7.031071659399941,7.826590856567166,5.799260032209006,7.1187450097157665,3.6622054996536164,3.260778431893426,2.0189901753847534,0.82273014794452,2.2213615566688727,3.1008575382429306,5.602268586690273,7.877662462197576,3.3604919769233623,3.6158870739160567,1.6372713739871978,6.907631790130579,2.5224034749662123,7.50393502893485,2.575581264426847,4.2874896781389165,5.572889668420581,2.7363550940340016,5.266786540694901,5.166514610409004,9.009615905619606,3.0461417816447205,8.258330472612426,5.13756207349694,2.756236761126335,6.550131104144458,2.0542696625281214,0.8237493603082727,1.7293714931978568,2.031092670490854,2.3625700793847084,2.3706292910328384,2.428611418467134,4.285402218862249,3.1462207408510436,2.5738592215759493,7.060603299818705,3.8172821545329207,2.1516423745930924,2.2720231890610485,2.237257770900372,6.109987318536913,1.681074393274161,3.5835190838514874,1.0027025203798234,3.1613502657043027,CNTR
697,0.8217918362075559,1.9360882361798069,6.981167667105682,7.915530859679376,5.490409679460006,6.265599420133479,1.547379317913,3.212569338850806,2.8381450033123596,0.005399987742589676,0.3535114974172748,3.307532611988648,5.188682247675498,8.189066780314793,3.7504116118881985,3.0071955014042038,1.9297909977185974,6.259272487037595,1.3626317317015866,8.630499211869134,4.837943241891027,3.7378775982946673,5.014404889726336,2.790130412305109,3.5741015080893894,3.925999418556223,8.731997786643742,3.2496620433079344,8.70402465787508,3.2178953995039716,1.6823367317914382,4.9449253596101475,0.8359240742543751,0.016950068929937386,3.1276332797258735,2.4129750328219512,3.079195225266739,2.273515889702116,2.9527994778999385,4.863112495720649,3.5821545295062833,2.4318903482861804,5.730950429913984,2.957914598632985,0.009586048829197932,3.269407240854037,4.527555198794536,5.275379596253622,0.04730571477835682,3.6099912952126787,1.8489984304000229,3.2496620433079344,CNTR
HUPT3,0.7370810051530994,3.5863644395121494,5.842643672060743,8.192103730935447,5.1770041946609355,6.6623795900517635,1.5424349481842676,3.6357543912777603,3.451013242943973,1.4025857582325874,1.573697674625342,3.451069779681329,5.282412346805899,6.863153804688307,2.6835943852526767,3.192419639229399,1.6564083610954299,5.880563091770077,2.8993243849314245,6.9047851297316,2.5910942637981718,3.3454965660257665,5.465938197204556,2.5099881122603933,5.142821844115928,2.922197848396367,8.521172474867415,4.186772191945524,8.028900615734333,3.3132458517875616,4.032518497780746,5.559579214837203,0.7355221772965375,2.015977574763765,2.474219698490536,2.3907462872672185,2.498615598926782,1.8148921728512752,3.6003589675447687,4.279223643933124,3.048468709634476,3.0068365773966583,5.644886318373214,3.546791590263657,0.8770898180752765,1.9827654625836462,4.487598894723252,5.367720513401452,2.996388746447621,3.346531462028019,1.5490530293372882,3.346531462028019,CNTR
SW1990,0.5945485495503542,3.8609627978581167,6.807870078299782,7.332707933640605,5.190071574554088,7.033374054310491,1.5690743890123189,3.9546616208378977,4.556122817841175,1.882153917287012,0.45171665350929174,3.284133357706675,5.3238904279635335,7.836050355058069,3.7336501465898264,3.0920624266174745,1.7153865393318217,7.415248816083297,3.5743810188993095,8.180294586319597,3.0075942011555017,3.4843656317999314,6.256821968968633,2.4990363283017603,4.882153917287012,0.41142624572646497,8.855064676142504,3.8346245440290905,8.568298175968202,3.740927560318628,1.8670640998900105,6.555158800951352,0.47335399486966684,0.5849625007211562,3.5695518510836126,2.6375771268845782,2.718087583960517,2.131479736122165,2.0673805780190597,5.4878936148165725,2.407805930047768,2.7769461918570877,5.220219382352895,2.1243281350022016,0.00480098626382128,1.4698859762744636,4.191700818138747,6.45038647903429,1.7879895971906732,3.2237314451381063,2.1984941536390834,3.4843656317999314,CNTR
CAL120,1.1882743113212042,3.8078700782997816,6.981167667105682,8.221184302599369,5.743117725223926,6.743143912205165,2.905240858389426,3.621172752683435,3.707303908247276,4.852435875535618,0.572081209424424,4.835491027563179,6.1453377977388834,6.773688700171731,3.100518994075786,4.071370419422501,1.739515799337064,6.159804076700478,2.241370861816586,7.3179100090605695,2.3292830894143743,4.241077458175037,5.596736410374949,2.750111725165391,3.387270623086234,5.51853513898218,8.722841677393637,3.8304291882337203,8.02178506850753,3.1004971497883593,2.581922046401105,5.845812605079244,0.9683980026141712,0.08158753449626181,4.252160795117172,2.1744977312321363,3.125273234964523,2.3941482542946293,3.674404153937691,4.723194474393606,3.3798981635246923,3.352476059050329,6.141099919926029,3.3542640770070524,0.5126482959052662,1.9504684141501227,3.0531113364595623,5.2600256559614555,2.5631581304028077,3.7452373321297494,1.3448284969974411,3.674404153937691,CASE
HCC1937,2.2938412992667394,3.6524864949181644,5.9842095638435895,7.663890128984856,4.735477047241294,6.7397281130921645,1.2698880768748564,3.6808869207196917,4.780835001738229,2.950235100485688,1.3671846588983652,3.431049817267475,6.605520672660548,7.214448649894127,3.418435304245828,3.3872049639650084,2.53681805275928,6.573243226819824,3.528859790569834,7.506496026721361,2.8751247393956763,4.40815238259876,5.825248558270096,2.5037401337159952,5.742185907577548,3.7554217347342425,9.19258132462889,4.119000380653091,7.869254527115468,3.6103288466978145,2.009460329249066,5.937546172384257,0.9107326619029126,3.6724253419714956,2.034157010732062,3.4657879372504783,3.926406136138456,1.9628574558565468,4.527085978807456,5.272147639787103,3.695622701843316,2.9508416375491486,5.60462205957041,2.619804249933457,0.04730571477835682,1.836934011321092,3.5518235957212565,5.7636771418966,4.652677694314229,3.2702299072379977,1.2380225178257205,3.6724253419714956,CASE
CAKI2,2.0832474137479364,5.485641497960146,8.212050477114989,9.197613973495493,6.7602098555948436,7.293395009615779,2.906615770378449,3.425593577653059,3.0731347046302155,2.9474323894713654,2.441837558622559,4.014737852321926,7.287428514733639,8.600581978500909,3.7735168810733657,3.2043196113233137,1.640478552131024,6.240791332161956,2.8942581091827813,8.071965072954029,2.5796092662269494,5.761519945685264,6.515682319112209,2.3954847018574434,5.497505921154454,7.711219556894335,9.5904934868915,3.237476311390207,7.67627446147456,3.43753213706593,2.1841967591979765,6.571200050756409,1.611172380044005,0.018245708928009766,5.331723128274878,1.7564133563944289,2.487265826834023,1.6780719051126376,2.109778429078662,4.594548549550354,3.1494761654160106,2.882447416431731,7.957085453998794,4.028569152196771,0.2630344058337938,2.229587922740652,2.655351828612554,5.937579799679659,1.3045110418099528,3.200692666154717,3.2720231890610485,3.2720231890610485,CNTR
HUG1N,3.2623128779163344,3.5474086980113806,6.985310669424807,8.115034977487365,3.1896269158848605,6.8398616358279,2.2565793836964945,4.519164449806069,2.714355433101084,0.44095219802963675,2.0071955014042038,2.186545833579815,6.29092675402503,6.568893490895564,2.3571680878976147,3.8763415322489116,1.6860263747282183,6.460087240116833,2.833279352998811,7.463534590621975,2.2223924213364477,4.2624154700668635,6.324870594481927,1.3908369762241293,3.156504485679991,3.5897634869849773,8.959494871822045,3.3460451056774567,8.81464654866029,4.596168453734781,1.7621809400307031,6.113027710037613,0.5058909297299573,3.1337727354259908,2.6162792704770936,1.5410191531335593,2.366971593116311,2.7683607904417404,3.7919442724200607,5.241204607079265,3.6411606424040808,3.1338922701975562,6.518467696538165,2.523561956057013,0.9158395523360015,2.956521363333119,3.524189078449365,5.971773447193373,2.5025003405291835,3.520045024039818,0.41142624572646497,3.2623128779163344,CNTR
KMRC20,3.1377002414796067,5.7444302299879215,7.216584202635622,8.533998032685497,5.39334755137725,6.561071508761118,3.2043196113233137,3.491211756003092,2.3892914620069723,3.0312187306107203,4.1073530984482955,3.193433836136466,6.790265221907544,7.419566981097043,2.6214391931224235,3.2660368939953175,1.600416153127669,6.061920171943467,2.891269615020649,7.848051695365315,2.8606317906200256,4.248061503664652,5.945768950754699,3.0082993232184867,4.867237548685066,5.514753498439753,8.949114669371504,3.3438138721290587,8.071381912634715,4.074921293796081,3.3955679574791815,6.322778004069947,0.6989592715864614,0.03242147769237742,3.908012255606844,2.819668183496456,2.823749360308273,2.0658020583957466,3.4389581478975493,5.240187101939044,3.4576818366873376,3.301880252839032,5.968814880893922,1.6151023607931534,0.11103131238874395,2.859472666851937,0.9068905956085185,5.142821844115928,2.474219698490536,3.6762674082658897,0.9541963103868752,3.4389581478975493,CNTR
NCIH2122,1.6272332764908748,4.726195448487707,7.5434185499294175,8.151278746351498,5.652797181070319,6.224880640823008,1.972430083243527,3.158660175346498,3.1578521691417376,1.6959938131099002,1.6509177033281697,0.31614574229335635,5.677936228626508,7.67075065552094,2.1378015704488336,2.787790645933254,0.9866209701988001,6.123052252839262,2.2455892713743846,6.619578077631354,1.9200815284615054,5.174397018364635,5.04904985568096,1.6186000974214436,7.167551954818397,5.203201156316611,8.88829576142349,3.0627631619083284,8.258236237330973,3.335875212719288,1.8036621073190717,6.032636148482282,1.7669484603819205,2.557153841797151,3.8339863831726726,1.6546973967388288,2.6435263932157644,1.2326607567902748,1.3936907641874539,4.581752944245266,2.2058095371408437,2.110363243360418,6.004469289184374,3.4431645815959833,2.3996268496413,1.1811025507537978,3.6220518194563764,5.609695872862739,1.581752944245266,3.344260394985419,1.3255303315675577,3.1578521691417376,CNTR
